videoId,publishedAt,period,viewCount,likeCount,commentCount
xC-aRUy6qnI,2023-03-09 18:38:56+00:00,Before Founding,67139,6983,2811
dcc_KKkZpS8,2023-03-01 17:14:34+00:00,Before Founding,324861,27877,2335
XGOscIX3aFA,2023-02-26 18:10:55+00:00,Before Founding,566093,50923,14837
1tZKTVGKKAE,2023-02-26 13:02:05+00:00,Before Founding,348529,34920,1114
16QS-8YnSZg,2023-02-24 06:38:59+00:00,Before Founding,337424,37799,11796
b6pn5X2yNCU,2023-02-23 09:31:32+00:00,Before Founding,56442,6863,1414
ryegSlHLx0Y,2023-02-21 16:12:53+00:00,Before Founding,184147,24824,1585
n4oajy4MMqI,2023-02-18 09:15:27+00:00,Before Founding,359278,46512,3107
Ctjq8vuQyxo,2023-02-10 12:34:56+00:00,Before Founding,243383,31791,2214
CpAML_2ANqc,2023-02-10 08:00:25+00:00,Before Founding,307899,26375,14176
4EPEp2q0bzY,2023-02-09 11:15:05+00:00,Before Founding,1598091,93928,5922
